NCT Number,Study Title
NCT04747808,Study of LL-BMT1 in Patients With Elevated Intraocular Pressure
NCT01925391,The Measurement of Intraocular Pressure in Normal Children Under General Anesthesia With and Without Nitrous Oxide and Anesthetic Eye Drops
NCT01016691,Safety and Efficacy of a Drug Delivery System in Glaucoma
NCT01191008,Long Term Use Of Xalacom In Patients Glaucoma Or Ocular Hypertension
NCT00687791,Oculusgen (Ologen) Collagen Matrix Implant for Phaco-Trabeculectomy in Primary Glaucoma: A Case-Control Study
NCT02179008,Multi-center Phase II Study Assessing the Safety and Efficacy of DE-117 Ophthalmic Solution in Subjects With Primary Open-angle Glaucoma or Ocular Hypertension
NCT00596791,Ocular Signs and Symptoms in Glaucoma Patients Switched From Latanoprost 0.005% to Preservative Free Tafluprost Eye Drops
NCT02658071,Measurement of Ocular Tensional Fluctuation by Triggerfish Lens Before and After Cataract Surgery in Patients With Exfoliative Glaucoma
NCT04037917,First-In-Man Study for an Ophthalmic Synthetic Tissue Substitute
NCT03558126,Silicone Tube for the Surgical Treatment of Glaucoma
NCT00972426,A Study to Evaluate Efficacy and Safety Effects Using Mikelan® LA Ophthalmic Solution (OS) 2% Versus Timoptol® XE Ophthalmic Solution (OS) 0.5% in Ocular Hypertension Patients
NCT02801617,Non-inferiority of PRO-067 Ophthalmic Solution vs GAAP Ofteno® in Glaucoma or Ocular Hypertension
NCT00382226,IOP-Lowering Efficacy of Brinzolamide 1.0% Added to Travoprost 0.004%/Timolol 0.5% Fixed Combination as Adjunctive Therapy
NCT05159817,Study of an Interposition Supraciliary Implant in Patients With Open Angle Glaucoma
NCT01319617,SENSIMED Triggerfish Safety and Tolerability
NCT00878917,Equivalence Study of Dorzolamide 2% Eye Drops Solution
NCT00707226,Circadian Variations in Ocular Blood Flow in Glaucomatous and Normal Eyes
NCT02914626,Intravitreal Ranibizumab (Lucentis®) for Neovascular Glaucoma- a Randomized Controlled Study
NCT00347126,Results of Mass Switch From Latanoprost to Travoprost
NCT00262626,The Canadian Glaucoma Study
NCT02891317,Assessing Ocular Hemodynamic Response to Surgical Intervention in Glaucoma
NCT03567226,Leveraging WeChat Social-Media and Messaging Platform to Increase Physical Activity in Chinese Glaucoma Patients
NCT05973617,Development of an IT Tool Able to Identify Ocular Conditions
NCT04515017,Evaluation of Filtering Bleb After Glaucoma Surgery by AS-OCTA
NCT01864317,Assessment of Optic Nerve Radiation in Patients With Glaucoma and Ocular Hypertension by 7 Tesla Diffusion Tensor Imaging
NCT03612817,Preservative-free Tafluprost/Timolol Fixed Combination: Morning vs Evening Dosing
NCT00691717,Anecortave Acetate Safety in Patients With Open-Angle Glaucoma or Ocular Hypertension
NCT01027039,Will Listening to Music Make it Easier to Take a Visual Field Test?
NCT01351779,The Effect of Body Posture on Intraocular Pressure in Progressive Glaucoma
NCT04719871,Vitreous Detachment and Glaucoma Progression
NCT00691639,Collection of Blood Specimens From Patients in AL-3789 Studies for Elevated Intraocular Pressure (IOP)
NCT01330979,24-hour Efficacy of AR-12286
NCT04005079,Pilocarpine After Combined Cataract/Trabectome Surgery
NCT01539239,Safety & Effectiveness Study of the Hydrus Microstent for Lowering IOP in Glaucoma Patients Undergoing Cataract Surgery (HORIZON)
NCT00759239,Phase IV Randomised Double-masked Clinical Trial: Assessing Morning Versus Evening Dosing of a Fixed Dose Combination of Travoprost 0.004% / Timolol Maleate 0.5% in Patients With Primary Open-angle Glaucoma or Ocular Hypertension
NCT04846179,To Evaluate the Effect of Ginkgo Biloba Extract on Optic Nerve Head Perfusion Examined Using OCTA
NCT01664039,An Efficacy and Tolerability Study of TRAVATAN® Versus LUMIGAN®
NCT01303939,Does Glaucoma Cause Loss of Brain Function?
NCT01711879,Use of Intravitreal Aflibercept Injection for Neovascular Glaucoma
NCT01390779,Efficacy of 24-hour Intraocular Pressure Fluctuation Recording With the SENSIMED Triggerfish Contact Lens Sensor
NCT00657579,Safety and Efficacy Study of DE-104 Ophthalmic Solution to Treat Open-Angle Glaucoma or Ocular Hypertension
NCT00466479,Brimonidine vs ALTP in Progressing Human Glaucoma
NCT01060579,Study of AR-12286 Versus Latanoprost in Patients With Elevated Intraocular Pressure
NCT04220879,Study on Intraocular Structural Parameters and Surgical Effect Before and After the Onset of Malignant Glaucoma
NCT00326079,A Study of the Glaukos Trabecular Micro-bypass Stent in Open Angle Glaucoma Subjects 1 Stent Versus 2
NCT00570479,Prophylactic Anecortave Acetate in Patients With a Retisert Implant
NCT02656979,Blood Flow of Ophthalmic Artery and Glaucoma
NCT02097979,The Impact of a Brief Educational Intervention on Glaucoma Adherence
NCT04452279,Ocular Surface Disease Changes After iStent or iStent Inject Implantation With Phacoemulsification
NCT04709679,Laser Dosage in MicroPulse TransScleral CycloPhotocoagulation
NCT03047239,TF for the Prediction of Visual Field Progression
NCT01868126,Multi-center Study Assessing the Safety and Efficacy of DE-117 Ophthalmic Solution in Subjects With Primary Open-angle Glaucoma or Ocular Hypertension
NCT00539526,Evaluation of Hyperemia With the Use of Ocular Prostaglandin Analogues
NCT01742104,Multicentric Observational Study on Quality of Life in Glaucoma
NCT02609204,Normative Database for Pattern Electroretinogram (PERG) and Flash Electroretinogram (FERG)
NCT01151904,Study of Brimonidine and Timolol Ophthalmic Solution With Latanoprost Compared With Latanoprost in Glaucoma Patients
NCT00855517,A Phase 2 Study of the Latanoprost Punctal Plug Delivery System in Subjects With Ocular Hypertension or Open-Angle Glaucoma
NCT04596826,The Effect of Dronabinol on Ocular Hemodynamics in Patients With Primary Open Angle Glaucoma
NCT01369771,The Effects of Preservative-free Prostaglandin Eye Drops in Sign and Symptoms on the Eyes of Patients With Glaucoma
NCT01658839,Pharmacokinetic and Safety Study of Travoprost 0.004% in Pediatric Glaucoma Patients
NCT02627339,Building a Database of Results From People Without Eye Problems
NCT03210571,Clinical Investigation of the eyeWatch Glaucoma Drainage Device
NCT00314171,A Study of a Glaucoma Therapy to Treat Open-Angle Glaucoma or Ocular Hypertension
NCT05232539,Efficiency of Intraoperative Optical Coherence Tomography (iOCT)
NCT00760539,Safety and Efficacy of Travoprost/Timolol BAC-free
NCT02659709,Interest in Electronic Applications for Patients With Glaucoma
NCT00804063,Serum Citrate in Diagnosis and Follow-up for Glaucoma
NCT00735449,Comparing Efficacy and Safety of Combigan With Timolol Adjunctive to Xalatan in Glaucoma or Ocular Hypertension Subjects
NCT04899063,Excimer Laser Trabeculostomy Glaucoma Treatment Study
NCT05895617,Assessment of the Occuity PM1 Pachymeter
NCT00168363,Safety and Efficacy of Brimonidine in Patients With Glaucoma or Ocular Hypertension
NCT01210963,Central Corneal Thickness With SENSIMED Triggerfish
NCT05900063,Evaluation of the Efficacy of Selecta Laser Trabeculoplasty in Patients Undergoing Filtering Surgery
NCT02396316,Japanese Phase 3 Study of Aflibercept in Neovascular Glaucoma Patients
NCT05432245,MINIject Implantation Combined With Cataract Surgery in Patients With POAG and Cataract
NCT04609345,Prevalence of Ocular Surface Disease in Malaysian Glaucoma Patients
NCT02639845,Eye Drop Application Monitor Pilot Study
NCT00698945,Comparison of Istalol™ 0.5% QD (Timolol Maleate/Sorbitol Complex ISTA Pharmaceutical) to Brimonidine Tartrate 0.1% BID as Adjunctive Therapy to Latanoprost 0.005% in Adults With Ocular Hypertension (OHT) or Open-Angle Glaucoma (OAG)
NCT01064817,PRM-151 in the Prevention of Scarring Following Trabeculectomy
NCT00751049,A Study of Open Angle Glaucoma or Ocular Hypertension in Patients Within the United Kingdom
NCT05446363,Glaucoma Telemedicine Screening
NCT01254149,IOP Lowering Effects of Topical Anesthetics Used Frequently in the Ophthalmology Clinic
NCT00333463,Compliance With Once Daily Glaucoma Medication
NCT00376363,Ahmed Versus Baerveldt Comparison Study
NCT01633775,Re-Trabeculectomy Versus Ahmed Glaucoma Valve Implantation in Secondary Surgical Management of Patients With Refractory Glaucoma
NCT03419975,A Multi-center Randomized Blinded Evaluator Active Control Parallel Phase III Study to Evaluate the Efficacy and Safety of TJO-002 in POAG or Ocular Hypertension Patients
NCT03626675,Anterior Segment Changes by Optical Coherence Tomography (OCT) in Phaco- Trabeculectomy
NCT00168350,Memantine in Patients With Chronic Glaucoma
NCT02102750,A Study to Evaluate Pharmacokinetics of Tafluprost Ophthalmic Solution (0.0015%) in Pediatric Patients With Glaucoma or Ocular Hypertension
NCT01370850,Clinical Validation Study of RTVue Features
NCT00334750,Distribution of Risk Factors in Ocular Hypertension and Open-Angle Glaucoma Patients in Canada
NCT00332345,Safety and Efficacy Study of Brimonidine/Timolol Fixed Combination in Patients With Glaucoma or Ocular Hypertension
NCT01560975,IOP Fluctuations in Patients With Sleep Apnea With or Without Primary Open Angle Glaucoma Using Positive Airway Pressure
NCT03868254,Chart Review of XEN 45 Gel Stent: Long Term Performance and Safety Assessment (XEN LT)
NCT05575154,ISNT Rule in Normal Population
NCT01297803,Comparison of Two Method Antimetabolites Application on Corneal Function in Trabeculectomy Surgery
NCT01126203,Randomized Prospective Study of Selective Laser Trabeculoplasty (SLT) Versus Argon Trabeculoplasty (ALT) in Patients With Pseudoexfoliation Glaucoma and Ocular Hypertension
NCT03850054,AADI Glaucoma Shunt - a Quality Control Study
NCT03748654,Feasibility of Visual Field Testing With a Virtual Reality Headset
NCT04682054,Molecular Taxonomy of Surgically-harvested Ocular Tissues Defined by Single-cell Transcriptomics
NCT02144103,Effectiveness and Safety of Adipose-Derived Regenerative Cells for Treatment of Glaucomatous Neurodegeneration
NCT04888156,Impact of Self-tonometry on Glaucoma Treatment Decision.
NCT00651859,Safety and Efficacy Study of Bimatoprost in Ethnically Japanese Patients With Open-Angle Glaucoma or Ocular Hypertension
NCT02235454,SDOCT-GMPE Software
NCT04615403,Study of Exchange of Travoprost Intraocular Implant
NCT01162603,Latanoprost Versus Tafluprost: 24-hour Intraocular Pressure (IOP)
NCT02600403,Are There Changes in the Nerve Fiber Layer (NFL) After Lowering of Eye Pressure?
NCT05130554,XEN45 in the Treatment of Chinese Patients With Primary Open-angle Glaucoma
NCT02313259,The Impact of Ocular Diseases on Driving: a Prospective Study
NCT03822559,A Study of DE-111A on the Treatment of Open Angle Glaucoma or Ocular Hypertension
NCT01209975,Retinal Vascular Reactivity in Subjects With Newly Diagnosed Glaucoma Before and After Selective Laser Trabeculoplasty
NCT05352854,Morphological Changes of Ciliary Body and Trabecular Meshwork
NCT00912054,DuoTrav APS Versus XALACOM® in Ocular Surface Health
NCT02585375,Latanoprost Preserved Versus Unpreserved: Effect on Tear Film Thickness as Measured With OCT
NCT02057575,Study Assessing Safety and Efficacy of PG324 Ophthalmic Solution in Patients With Elevated Intraocular Pressure
NCT02868190,Two Second-Generation Trabecular Micro-bypass Stents to Treat Glaucoma Subjects on One Hypotensive Medication
NCT05542290,Implantation of Capsular Tension Ring in Primary Angle Closure Patients With Zonular Laxity or Dialysis
NCT00719290,Primary Angle Closure Glaucoma and Aqueous Dynamics
NCT01920867,Stem Cell Ophthalmology Treatment Study
NCT05605743,Alternate Nostril Breathing Training in Geriatrics With Glaucoma and High Blood Pressure
NCT00825890,The High Cup/Disc Ratio in Children
NCT02448875,Clinical Evaluation of Visco-Assisted CyPass® Micro-Stent Implantation in Patients With Open Angle Glaucoma
NCT00047554,Study of TRAVATAN in Subjects With Iris Pigmentation Changes
NCT00893490,Ahmed Glaucoma Valve Alone With Amniotic Membrane or With Mitomycin C (MMC) for Treatment of Refractory Glaucoma
NCT00538590,Ologen Collagen Matrix Safety and Effective Comparison With Mitomycin-C(MMC) in Glaucoma Surgery
NCT01023997,Central Corneal Thickness in Glaucoma
NCT02764697,Study of H.P. ACTHAR Subcutaneous Gelatin (Gel)(Highly Purified Gel Injection) in Uveitis Patients
NCT05150197,Virtual Reality Visual Field Testing as an Alternative in Childhood Eye Disease
NCT03131167,Study of SHP639 Eye Drops in Adults With High Eye Pressure or Primary Open-angle Glaucoma
NCT01455467,Open-angle Glaucoma Subjects on One Topical Hypotensive Medication Randomized to Treatment With One or Two Trabecular Micro-bypass Stents in Conjunction With Cataract Surgery
NCT04944290,To Compare the Efficacy and Safety of Perrigo's Product to an FDA Approved Product for the Treatment of Glaucoma or Ocular Hypertension in Both Eyes
NCT02014597,Human Optokinetic Contrast Device (HOCD) to Measure Visual Function and Identify Patients With and Without Glaucoma
NCT02839590,Aqueous Dynamics and Glaucoma Surgeries
NCT01243567,Safety and Efficacy of Bimatoprost/Timolol Fixed Combination Versus Latanoprost in Patients With Open-Angle Glaucoma Who Have Never Been Treated
NCT04703959,Glaucoma and Sleep Quality
NCT05400759,Clinical Outcomes of the Implementation of Diurnal IOP Curve to 1500 Patients - A Cohort Study.
NCT01580254,Efficacy and Safety of Three Different Latanoprost 0005% Eyedrops in Subjects Affected by Primary Open Angle Glaucoma
NCT03201354,Efficacy and Safety of the ExPRESS Implant Versus Deep Sclerectomy in Combined Surgery
NCT00739154,Protective Effect of Phenytoin on Glaucoma
NCT05673954,Glaucoma Assessment Via Reading Ability
NCT04164459,Evaluating the Efficacy and Safety of Xalost S in Glaucoma Patients.
NCT02674854,Double-masked Study of PG324 Ophthalmic Solution in Patients With Open-angle Glaucoma or Ocular Hypertension
NCT04670575,Vivity Outcomes in Patients With Early Stage Glaucoma
NCT00792259,Topcon 3D OCT-1000 Optical Coherence Tomography System
NCT05593354,MicroPulse TLT - UK Study
NCT00798759,Examination of Ocular Surface Effects With Administration of Travatan Z and XALATAN
NCT03114059,5 Years Long Term Results After Standalone CyPass-Implantation
NCT00716859,A Phase 3 Prospective Randomized Double-Masked 12-Week Parallel Group Study In Pediatric Subjects With Glaucoma.
NCT02617459,Levobetaxolol Hydrochloride Eye Drops for Treatment of Primary Open-angle Glaucoma or Ocular Hypertension
NCT01166659,Study of CyPass Implantation In Patients With Open Angle Glaucoma Refractory to Single or Multi-agent Topical Therapy
NCT04619654,Visual Outcomes With a Trifocal IOL in Subjects With Open-angle Glaucoma
NCT02042703,Imaging Lens Deposits in Exfoliation Syndrome
NCT00957190,The DIOXXACT Trial(Diurnal IOP and OBF Xalatan vs Xalatan And Cosopt Trial)
NCT04454190,Development and Validation of a Model to Predict Fast Progression in Glaucoma
NCT04709497,Surgery for Primary Congenital Glaucoma in Neonates
NCT00800267,A Study of Glaucoma or Ocular Hypertension in Patients Within the United States
NCT00620256,Adjunctive Study of AL-37807 Ophthalmic Suspension
NCT04003090,Citicoline Concentration in Human Vitreous
NCT01711190,Astigmatism Post-trabeculectomy
NCT02444767,Bimatoprost Ocular Insert Pharmacokinetic Study
NCT05165290,Prospective Double-masked Randomized Multi-center Active-controlled Parallel-group 3-month Study Assessing the Safety & Ocular Hypotensive Efficacy of TC-002 Ophthalmic Solution Compared to Latanoprost Ophthalmic Solution 0.005% in Subjects With Elevated Intraocular Pressure
NCT00478790,Ologen(Oculusgen)-Glaucoma and Pterygium Historical Control Study in China Shanghai Sixth People's Hospital
NCT00950690,Efficacy and Tolerability of Xalatan in Patients
